entry_date,symbol,side,weight,exit_date,horizon,ret,demeaned_ret,signal_date,action_entry,action_exit,forced,glitch_flag,gross_ret,net_ret,cost_bps
2017-03-13,ARKK,long,1.000,2017-05-03,36,0.098603,0.066979,2017-03-10,RE-ENTRY (new cycle),EXIT / TRIM,0,0,0.098933,0.098603,3
2017-07-17,ARKK,long,1.000,2017-09-05,35,0.139888,0.122391,2017-07-14,RE-ENTRY (new cycle),EXIT / TRIM,0,0,0.140230,0.139888,3
2017-09-28,ARKK,long,1.000,2018-06-08,174,0.333812,0.241277,2017-09-27,RE-ENTRY (new cycle),EXIT / TRIM,0,0,0.334213,0.333812,3
2018-07-09,ARKK,long,1.000,2018-10-05,63,-0.054747,-0.026387,2018-07-06,RE-ENTRY (new cycle),EXIT,0,0,-0.054464,-0.054747,3
2018-10-15,ARKK,long,1.000,2018-10-22,5,-0.004427,0.004083,2018-10-12,RE-ENTRY (new cycle),EXIT,0,0,-0.004128,-0.004427,3
2018-10-23,ARKK,long,1.000,2018-10-25,2,0.000635,0.004451,2018-10-22,RE-ENTRY (new cycle),EXIT,0,0,0.000935,0.000635,3
2018-10-26,ARKK,long,1.000,2018-12-18,35,0.008399,0.031537,2018-10-25,RE-ENTRY (new cycle),EXIT,0,0,0.008702,0.008399,3
2018-12-27,ARKK,long,0.500,2018-12-28,1,0.014354,0.006493,2018-12-26,TACTICAL REBOUND (counter-trend),EXIT,0,0,0.014658,0.014354,3
2018-12-31,ARKK,long,0.500,2019-01-02,1,-0.020318,-0.014313,2018-12-28,TACTICAL REBOUND (counter-trend),EXIT,0,0,-0.020024,-0.020318,3
2019-01-11,ARKK,long,1.000,2019-05-14,84,0.066463,0.049999,2019-01-10,RE-ENTRY (new cycle),EXIT,0,0,0.066783,0.066463,3
2019-05-22,ARKK,long,1.000,2019-05-24,2,-0.025843,-0.016746,2019-05-21,RE-ENTRY (new cycle),EXIT,0,0,-0.025551,-0.025843,3
2019-05-28,ARKK,long,1.000,2019-06-03,4,-0.037466,-0.018350,2019-05-24,RE-ENTRY (new cycle),EXIT,0,0,-0.037177,-0.037466,3
2019-06-05,ARKK,long,0.500,2019-06-06,1,-0.000836,-0.005852,2019-06-04,TACTICAL REBOUND (counter-trend),EXIT,0,0,-0.000536,-0.000836,3
2019-10-04,ARKK,long,0.500,2019-10-07,1,0.003240,0.003272,2019-10-03,TACTICAL REBOUND (counter-trend),EXIT,0,0,0.003541,0.003240,3
2019-10-10,ARKK,long,0.500,2019-10-11,1,0.015871,0.004673,2019-10-09,TACTICAL REBOUND (counter-trend),EXIT,0,0,0.016176,0.015871,3
2020-01-07,ARKK,long,1.000,2020-02-18,28,0.163731,0.015989,2020-01-06,RE-ENTRY (new cycle),EXIT / TRIM,0,0,0.164080,0.163731,3
2020-03-11,ARKK,long,1.000,2020-03-12,1,-0.107811,-0.021822,2020-03-10,RE-ENTRY (new cycle),EXIT,0,0,-0.107543,-0.107811,3
2020-03-20,ARKK,long,1.000,2020-03-30,6,0.129501,0.003742,2020-03-19,RE-ENTRY (new cycle),EXIT,0,0,0.129840,0.129501,3
2020-06-16,ARKK,long,1.000,2020-06-24,6,0.072465,0.091368,2020-06-15,RE-ENTRY (new cycle),EXIT / TRIM,0,0,0.072787,0.072465,3
2020-09-17,ARKK,long,1.000,2020-12-03,54,0.283841,0.032268,2020-09-16,RE-ENTRY (new cycle),EXIT / TRIM,0,0,0.284227,0.283841,3
2021-02-02,ARKK,long,1.000,2021-03-05,22,-0.179983,0.003634,2021-02-01,RE-ENTRY (new cycle),EXIT,0,0,-0.179737,-0.179983,3
2021-03-10,ARKK,long,1.000,2021-03-25,11,-0.117281,-0.086773,2021-03-09,RE-ENTRY (new cycle),EXIT,0,0,-0.117016,-0.117281,3
2021-03-31,ARKK,long,1.000,2021-05-07,26,-0.043010,-0.058108,2021-03-30,RE-ENTRY (new cycle),EXIT,0,0,-0.042723,-0.043010,3
2021-05-12,ARKK,long,1.000,2021-05-13,1,-0.001083,0.009718,2021-05-11,RE-ENTRY (new cycle),EXIT,0,0,-0.000784,-0.001083,3
2021-05-17,ARKK,long,1.000,2021-07-01,32,0.271743,0.144666,2021-05-14,RE-ENTRY (new cycle),EXIT / TRIM,0,0,0.272124,0.271743,3
2021-07-27,ARKK,long,1.000,2021-08-19,17,-0.056269,-0.064184,2021-07-26,RE-ENTRY (new cycle),EXIT,0,0,-0.055986,-0.056269,3
2021-09-01,ARKK,long,1.000,2021-09-21,13,-0.043350,-0.020793,2021-08-31,RE-ENTRY (new cycle),EXIT,0,0,-0.043063,-0.043350,3
2021-10-04,ARKK,long,1.000,2021-10-05,1,-0.029033,-0.034311,2021-10-01,RE-ENTRY (new cycle),EXIT,0,0,-0.028742,-0.029033,3
2021-10-06,ARKK,long,1.000,2021-10-08,2,0.045391,0.041374,2021-10-05,RE-ENTRY (new cycle),EXIT,0,0,0.045705,0.045391,3
2021-10-19,ARKK,long,1.000,2021-11-16,20,-0.008751,-0.121597,2021-10-18,RE-ENTRY (new cycle),EXIT,0,0,-0.008454,-0.008751,3
2021-11-26,ARKK,long,0.500,2021-11-29,1,0.008486,-0.017849,2021-11-24,TACTICAL REBOUND (counter-trend),EXIT,0,0,0.008789,0.008486,3
2021-12-07,ARKK,long,0.500,2021-12-08,1,0.026356,0.012467,2021-12-06,TACTICAL REBOUND (counter-trend),EXIT,0,0,0.026664,0.026356,3
2021-12-16,ARKK,long,0.500,2021-12-17,1,-0.062727,-0.068928,2021-12-15,TACTICAL REBOUND (counter-trend),EXIT,0,0,-0.062446,-0.062727,3
2021-12-20,ARKK,long,0.500,2021-12-21,1,0.011393,-0.021065,2021-12-17,TACTICAL REBOUND (counter-trend),EXIT,0,0,0.011696,0.011393,3
2022-01-12,ARKK,long,0.500,2022-01-13,1,-0.034228,0.012132,2022-01-11,TACTICAL REBOUND (counter-trend),EXIT,0,0,-0.033938,-0.034228,3
2022-01-21,ARKK,long,0.500,2022-01-24,1,-0.083571,-0.082515,2022-01-20,TACTICAL REBOUND (counter-trend),EXIT,0,0,-0.083296,-0.083571,3
2022-01-25,ARKK,long,0.500,2022-01-26,1,0.028531,0.022290,2022-01-24,TACTICAL REBOUND (counter-trend),EXIT,0,0,0.028839,0.028531,3
2022-01-31,ARKK,long,0.500,2022-02-01,1,0.093976,0.092659,2022-01-28,TACTICAL REBOUND (counter-trend),EXIT,0,0,0.094305,0.093976,3
2022-02-25,ARKK,long,0.500,2022-03-02,3,0.028542,-0.021597,2022-02-24,TACTICAL REBOUND (counter-trend),EXIT,0,0,0.028851,0.028542,3
2022-03-10,ARKK,long,0.500,2022-03-11,1,-0.002912,0.033765,2022-03-09,TACTICAL REBOUND (counter-trend),EXIT,0,0,-0.002613,-0.002912,3
2022-03-16,ARKK,long,0.500,2022-03-17,1,0.061907,0.031121,2022-03-15,TACTICAL REBOUND (counter-trend),EXIT,0,0,0.062226,0.061907,3
2022-04-26,ARKK,long,0.500,2022-04-27,1,-0.060207,-0.061398,2022-04-25,TACTICAL REBOUND (counter-trend),EXIT,0,0,-0.059925,-0.060207,3
2022-05-03,ARKK,long,0.500,2022-05-04,1,0.000607,-0.039636,2022-05-02,TACTICAL REBOUND (counter-trend),EXIT,0,0,0.000907,0.000607,3
2022-05-13,ARKK,long,0.500,2022-05-16,1,0.053013,0.090454,2022-05-12,TACTICAL REBOUND (counter-trend),EXIT,0,0,0.053329,0.053013,3
2022-08-03,ARKK,long,1.000,2022-08-22,13,-0.084335,-0.038525,2022-08-02,RE-ENTRY (new cycle),EXIT,0,0,-0.084060,-0.084335,3
2022-09-08,ARKK,long,0.500,2022-09-09,1,0.065128,0.035110,2022-09-07,TACTICAL REBOUND (counter-trend),EXIT,0,0,0.065447,0.065128,3
2022-09-28,ARKK,long,0.500,2022-09-29,1,0.016559,0.065131,2022-09-27,TACTICAL REBOUND (counter-trend),EXIT,0,0,0.016864,0.016559,3
2022-10-18,ARKK,long,0.500,2022-10-19,1,-0.039018,-0.031824,2022-10-17,TACTICAL REBOUND (counter-trend),EXIT,0,0,-0.038730,-0.039018,3
2022-11-11,ARKK,long,0.500,2022-11-22,7,-0.040750,0.034075,2022-11-10,TACTICAL REBOUND (counter-trend),EXIT,0,0,-0.040463,-0.040750,3
